# uv_i_x uv_i_y  uv_j_x uv_j_y
0.953770 0.356766  0.850281 0.864087
0.616537 0.902034  0.761840 0.918798
0.900084 0.752750  0.834093 0.869642
0.887477 0.744743  0.835114 0.883384
0.134539 0.914731  0.835114 0.883384
0.924704 0.752482  0.850281 0.864087
0.928843 0.420017  0.850281 0.864087
0.913052 0.760073  0.850281 0.864087
0.797555 0.900316  0.834093 0.869642
0.811393 0.892549  0.834093 0.869642
0.784608 0.907480  0.834082 0.856058
0.772567 0.913557  0.851080 0.850445
0.761840 0.918798  0.851080 0.850445
0.940794 0.772529  0.851080 0.850445
0.900986 0.767333  0.834082 0.856058
0.887964 0.759635  0.834093 0.869642
0.134848 0.927127  0.834093 0.869642
0.926940 0.766500  0.851080 0.850445
0.914546 0.774191  0.851080 0.850445
0.810830 0.907044  0.834082 0.856058
0.797509 0.914700  0.834082 0.856058
0.784997 0.921804  0.834470 0.842651
0.773105 0.928050  0.851642 0.836385
0.762206 0.933798  0.851642 0.836385
0.928342 0.780696  0.851642 0.836385
0.888605 0.774779  0.834082 0.856058
0.902122 0.781798  0.834470 0.842651
0.135051 0.939317  0.834082 0.856058
0.915810 0.788546  0.851642 0.836385
0.810226 0.921423  0.834470 0.842651
0.797445 0.929071  0.834470 0.842651
0.785191 0.936200  0.851642 0.836385
0.773200 0.942823  0.850634 0.821912
0.761940 0.949491  0.850634 0.821912
0.929409 0.795118  0.850634 0.821912
0.889825 0.790004  0.834470 0.842651
0.135019 0.951348  0.834470 0.842651
0.903536 0.796435  0.850634 0.821912
0.917055 0.803034  0.850634 0.821912
0.809664 0.935999  0.834470 0.842651
0.797592 0.943743  0.834565 0.829500
0.785581 0.951186  0.850634 0.821912
0.773397 0.958080  0.848250 0.807778
0.930144 0.809913  0.850634 0.821912
0.891436 0.805726  0.834565 0.829500
0.134352 0.963120  0.834565 0.829500
0.905262 0.811268  0.850634 0.821912
0.917945 0.818074  0.848250 0.807778
0.809253 0.950839  0.833146 0.815929
0.797927 0.959273  0.848250 0.807778
0.785839 0.967147  0.848250 0.807778
0.772960 0.973322  0.848250 0.807778
0.930327 0.825275  0.848250 0.807778
0.895063 0.822439  0.848250 0.807778
0.132493 0.974524  0.833146 0.815929
0.906353 0.825981  0.848250 0.807778
0.917930 0.833583  0.844843 0.794381
0.809945 0.966715  0.848250 0.807778
0.799508 0.976584  0.844843 0.794381
0.786258 0.983425  0.844843 0.794381
0.772680 0.987594  0.844843 0.794381
0.930816 0.840759  0.844843 0.794381
0.903973 0.838506  0.844843 0.794381
0.918291 0.847324  0.840937 0.782759
0.786683 1.000000  0.840937 0.782759
